age	triceps
12.05	3.4
9.91	4
10.04	4.2
11.49	4.2
10.12	4.4
11.87	4.4
10.91	4.8
10.03	4.8
11.02	4.8
10	5
11.36	5
11.38	5
11.01	5.2
9.99	5.2
9.96	5.2
11.93	5.2
11.26	5.2
10.08	5.2
9.99	5.4
12.09	5.4
10.4	5.4
10	5.4
11.01	5.4
11.85	5.4
11.04	5.4
10.4	5.4
11.4	5.5
11.67	5.6
11.61	5.6
10.04	5.6
9.93	5.6
10.65	5.6
12.14	5.8
10.51	5.8
10.57	5.8
10.5	5.8
12.2	5.8
11.98	6
10.64	6
11.6	6
10.31	6
10.6	6
11.31	6
10.37	6
11.61	6.2
11.38	6.2
10.44	6.2
11.2	6.2
11.99	6.4
11.44	6.4
10.13	6.4
10.48	6.6
11.44	6.6
11.4	6.6
11.46	6.6
11.89	6.8
11.34	6.8
12.2	6.8
10.65	7
10.5	7
10.52	7
11.37	7
11.16	7
11.98	7
11.13	7
10.69	7
10.49	7.2
11.74	7.2
12.13	7.4
10.27	7.4
9.82	8
12	8
11.37	8.4
11.52	8.6
12.01	8.8
9.91	8.8
11.85	9
12.19	9
12.22	9.8
11.57	9.8
11.24	10
11.33	10.2
10.89	10.2
10.55	13
10.45	14.2
11.28	16
36.51	9.4
2.98	8.2
31.72	21.2
4.26	9.6
24.37	10.2
19.5	13.2
40.72	13.6
17.74	12.2
17.92	6.8
18.07	6.4
14.62	14
7.78	6
18.12	11.2
5.49	7.4
24.85	8.2
26.19	13.4
23.14	17.6
43.72	15.6
7.27	4.2
18.19	14
3.78	8.2
21.94	8.2
27.53	21.8
2.25	7.8
1.55	6
13.68	9.2
4.34	6.4
40.39	17.4
5.44	8.6
4.87	5.8
12.8	8
30.87	10
36.71	13.6
9.2	7.6
1.04	8.2
3.22	8
5.59	9
27.11	23.4
3.97	6.4
23.63	9
12.37	5.2
8.96	5.8
19.54	8.2
50.75	4.2
6.86	4.2
20.18	22.6
8.85	6.8
13.48	9.4
31.69	8
19.45	11
19.81	11.8
1.41	8.4
23	15.8
22.57	17.4
1.73	6
8.41	4.4
29.71	12.6
35.89	10.6
0.78	9.2
0.78	7.8
1.45	6
6.82	7.2
22.93	16.2
6.02	5.2
4.32	6.6
9.59	6
2.23	6.2
19.72	13.6
22.15	8
1.19	9
22.74	11.2
29.57	10.2
7.63	6.2
5.16	5.8
14.3	8.4
34.72	14.6
5.09	6.6
14.39	9.6
4.06	5.2
14.41	10.4
14.12	7.4
2.69	10.2
8.21	6.8
51.75	24.8
36.72	19
12.95	3.6
4.1	8.2
5.29	7
13.08	6.2
7.42	4.6
2.95	9.4
14.5	6.6
12.33	5.6
7.06	6.4
36.13	21.6
51.75	15.2
27.39	12.4
7.3	5.8
34.73	13.6
37.27	19.4
13.08	7
13.54	6.8
13.6	7
14.98	10.4
0.96	7
33.05	14.2
13.42	8.8
3.45	9.2
13.33	6.4
9.04	6.8
12.7	5
9.6	7.2
16.27	7.6
13.9	8.2
5.12	8.6
3.51	5.4
14.17	6.8
9.5	5
1.62	8.4
30.47	24.8
6.9	5.4
2.94	6.8
4.86	8
14.25	6.2
3.55	6.4
1.48	7
16.22	6.6
1.82	7.2
16.49	9
15.75	7
16.15	7.8
34.05	11.2
3.63	12.2
16.26	16
44.72	11
38.05	13.4
15.95	6
28.14	8.2
39.73	18.2
8.9	5.8
5.82	7.6
0.66	6.6
5.33	7
16.86	9.8
